epoch,acc,loss,val_acc,val_loss
0,0.8777827467832704,0.12686224037975755,0.9619368462449113,0.029556098767416186
1,0.9887094253561003,0.009687297478701184,0.9666290300192573,0.026172830930088386
2,0.9954277842856529,0.004007876743624628,0.9681087228550095,0.025930786053580696
3,0.9973676610232195,0.0023819665823501934,0.9643121429806321,0.028739277314566363
4,0.9981730781931473,0.001675435057323354,0.9660254718196117,0.029307223648137044
5,0.9985610535230972,0.001318474761151332,0.9659281237943954,0.028614366921024058
6,0.9988164296896465,0.0010915649880629485,0.9643900211895976,0.03161188605008592
7,0.9989441177729211,0.0009640070140166548,0.9652272153205206,0.030212793110498178
8,0.9989392066927952,0.0009088513074808273,0.963805931181529,0.03191143479381181
9,0.9990816280164477,0.0008153708843023217,0.961158059186075,0.03507999097797884
